,close
892,"[19.285, 19.282]"
893,"[19.282, 19.275]"
894,"[19.275, 19.245]"
895,"[19.245, 19.247]"
896,"[19.247, 19.215]"
897,"[19.215, 19.19]"
898,"[19.19, 19.183]"
899,"[19.183, 19.211]"
900,"[19.211, 19.201]"
901,"[19.201, 19.17]"
902,"[19.17, 19.061]"
903,"[19.061, 19.047]"
904,"[19.047, 19.109]"
905,"[19.109, 19.133]"
906,"[19.133, 19.054]"
907,"[19.054, 19.058]"
908,"[19.058, 19.005]"
909,"[19.005, 19.021]"
910,"[19.021, 19.088]"
911,"[19.088, 19.04]"
912,"[19.04, 19.049]"
913,"[19.049, 19.094]"
914,"[19.094, 19.111]"
915,"[19.111, 19.125]"
916,"[19.125, 19.146]"
917,"[19.146, 19.077]"
918,"[19.077, 19.044]"
919,"[19.044, 19.056]"
920,"[19.056, 19.056]"
921,"[19.056, 19.071]"
922,"[19.071, 19.071]"
923,"[19.071, 19.089]"
924,"[19.089, 19.116]"
925,"[19.116, 19.142]"
926,"[19.142, 19.128]"
927,"[19.128, 19.124]"
928,"[19.124, 19.139]"
929,"[19.139, 19.141]"
930,"[19.141, 19.162]"
931,"[19.162, 19.194]"
